OBJECTID,NAME,OWNTYPE,SUBTYPEFIELD,FEATURECODE,FULLADDR,MUNICIPALITY,STATE,ZIP,CAPTUREMETH,LOCATIONTYPE,AGENCYURL,PHONE,last_edited_date,geometry,ConvertedX,ConvertedY
1,Antioch Police Department,Municipal,740,Law Enforcement,433 Orchard St,Antioch,IL,60002-1236,Placed on Map,,http://www.antiochpd.com/,(847) 395-8585,1546871446000,"{'x': -88.09854999797204, 'y': 42.47973690543952}",-88.09854999797204,42.47973690543952
2,Bannockburn Police Department,Municipal,740,Law Enforcement,2275 Telegraph Rd,Bannockburn,IL,60015-1562,Placed on Map,,https://bannockburn.org/government/bannockburn-police/,(847) 945-8490,1561574114000,"{'x': -87.86612569908579, 'y': 42.1938826335409}",-87.86612569908579,42.1938826335409
3,Barrington Police Department,Municipal,740,Law Enforcement,400 N Northwest Hwy,Barrington,IL,60010-3389,Placed on Map,,https://www.barrington-il.gov/government/departments/police_department/index.php,(847) 304-3300,1561577370000,"{'x': -88.12914352724289, 'y': 42.157327180271395}",-88.12914352724289,42.157327180271395
4,Buffalo Grove Police Department,Municipal,740,Law Enforcement,46 Raupp Blvd,Buffalo Grove,IL,60089-2139,Placed on Map,,https://www.vbg.org/your_government/village_services/police_services,(847) 459-2560,1547733473000,"{'x': -87.96667193155811, 'y': 42.15399960647287}",-87.96667193155811,42.15399960647287
5,Deerfield Police Department,Municipal,740,Law Enforcement,850 Waukegan Rd,Deerfield,IL,60015-3206,Placed on Map,,http://www.deerfield.il.us/211/Police,(847) 945-8636,1546871446000,"{'x': -87.84699256000276, 'y': 42.168948114114976}",-87.84699256000276,42.168948114114976
6,Fox Lake Police Department,Municipal,740,Law Enforcement,301 S IL Route 59,Fox Lake,IL,60020-1896,Placed on Map,,http://www.foxlake.org/,(847) 587-3100,1546871446000,"{'x': -88.15768195728207, 'y': 42.38849313528406}",-88.15768195728207,42.38849313528406
7,Grayslake Police Department,Municipal,740,Law Enforcement,10 S Seymour Ave,Grayslake,IL,60030-1547,Placed on Map,,http://www.villageofgrayslake.com/,(847) 223-2341,1546871446000,"{'x': -88.03925250251137, 'y': 42.343448893828764}",-88.03925250251137,42.343448893828764
8,Great Lakes Naval Base Police,Municipal,740,Law Enforcement,521 Decatur Ave,Great Lakes,IL,60088,Placed on Map,,https://www.cnic.navy.mil/regions/cnrma/installations/ns_great_lakes.html,(847) 688-3440,1561574114000,"{'x': -87.83699809549282, 'y': 42.31084052352458}",-87.83699809549282,42.31084052352458
9,Round Lake Park Police Department,Municipal,740,Law Enforcement,215 E Main St,Round Lake Park,IL,60073-3605,Placed on Map,,https://www.rlpil.us/,(847) 546-7275,1554128463000,"{'x': -88.07846409222395, 'y': 42.348270204976174}",-88.07846409222395,42.348270204976174
10,Hawthorn Woods Police Department,Municipal,740,Law Enforcement,2 Lagoon Dr,Hawthorn Woods,IL,60047-9061,Placed on Map,,http://www.vhw.org/index.aspx?nid=101,(847) 438-9050,1546871446000,"{'x': -88.0537849504095, 'y': 42.217777337192715}",-88.0537849504095,42.217777337192715
11,Highland Park Police Department,Municipal,740,Law Enforcement,1677 Old Deerfield Rd,Highland Park,IL,60035-3738,Placed on Map,,https://www.cityhpil.com/government/city_departments/police/index.php,(847) 432-7730,1561574114000,"{'x': -87.82231106460227, 'y': 42.17412794672379}",-87.82231106460227,42.17412794672379
12,Highwood Police Department,Municipal,740,Law Enforcement,17 Highwood Ave,Highwood,IL,60040-1503,Placed on Map,,http://www.cityofhighwood.com/index.aspx?nid=189,(847) 604-8992,1546871446000,"{'x': -87.80891433964986, 'y': 42.20135917887177}",-87.80891433964986,42.20135917887177
13,Island Lake Police Department,Municipal,740,Law Enforcement,3720 Greenleaf Ave,Island Lake,IL,60042-9506,Placed on Map,,http://villageofislandlake.com/administration/police/,(847) 526-2100,1546871446000,"{'x': -88.19049658097437, 'y': 42.27505393489552}",-88.19049658097437,42.27505393489552
